year,month,ObsTime,spring,summer,fall,winter,StnPres,StnPresMax,StnPresMin,Temperature,T Max,T Min,RH,RHMin,WS,WD,WSGust,WDGust,Precp
2012,1,1,0,0,0,1,1017.9,1020.5,1015.8,16.7,19.9,14.4,71,60,4.9,44,13.9,48,0.0
2012,1,2,0,0,0,1,1017.1,1018.7,1016.1,16.4,19.4,14.6,68,54,3.7,41,8.4,46,0.0
2012,1,3,0,0,0,1,1017.0,1018.6,1015.2,16.8,22.7,13.1,78,60,2.9,41,10.7,45,0.0
2012,1,4,0,0,0,1,1020.1,1022.8,1018.3,12.1,15.2,10.9,75,69,6.9,44,15.4,45,0.0
2012,1,5,0,0,0,1,1019.3,1022.1,1017.3,12.7,14.7,11.0,88,73,4.3,43,12.3,38,2.5
2012,1,6,0,0,0,1,1018.6,1020.3,1016.7,15.7,16.9,14.0,95,84,3.3,38,9.6,30,6.5
2012,1,7,0,0,0,1,1019.7,1020.9,1018.6,17.1,19.2,15.6,88,79,4.7,39,12.8,53,0.0
2012,1,8,0,0,0,1,1019.6,1021.5,1017.7,17.6,18.7,16.9,91,88,4.0,44,11.6,38,0.0
2012,1,9,0,0,0,1,1018.4,1020.3,1016.2,17.8,20.3,16.4,86,75,4.8,41,12.7,53,0.0
2012,1,10,0,0,0,1,1018.0,1019.5,1016.1,18.2,20.9,16.7,79,69,4.7,44,11.7,14,0.0
2012,1,11,0,0,0,1,1019.7,1021.4,1018.4,16.9,19.3,14.8,71,61,5.9,44,15.7,46,0.0
2012,1,12,0,0,0,1,1018.7,1020.8,1016.5,17.4,20.1,15.2,78,67,2.8,44,7.8,20,0.0
2012,1,13,0,0,0,1,1016.7,1019.2,1014.3,18.5,20.4,17.1,89,82,2.2,20,5.8,20,0.0
2012,1,14,0,0,0,1,1012.5,1014.9,1010.2,18.1,19.9,16.8,97,93,2.0,1,5.3,21,0.5
2012,1,15,0,0,0,1,1007.9,1011.5,1005.1,18.0,20.2,16.0,95,87,2.9,40,9.1,5,4.5
2012,1,16,0,0,0,1,1009.6,1012.0,1007.9,16.2,18.9,14.7,91,80,3.5,41,9.7,75,13.0
2012,1,17,0,0,0,1,1011.8,1013.5,1009.9,17.4,21.3,14.7,84,65,2.8,46,8.2,2,0.0
2012,1,18,0,0,0,1,1011.7,1013.9,1010.1,18.3,24.1,15.9,89,61,1.6,43,5.6,4,0.0
2012,1,19,0,0,0,1,1012.2,1014.3,1010.8,18.5,24.5,15.8,89,63,2.6,48,8.1,2,0.0
2012,1,20,0,0,0,1,1012.4,1014.9,1010.5,17.7,20.5,16.1,87,74,3.2,40,10.4,11,0.0
2012,1,21,0,0,0,1,1012.3,1014.2,1011.0,17.4,20.0,15.9,86,75,3.0,44,9.1,60,0.0
2012,1,22,0,0,0,1,1013.9,1015.7,1012.3,14.1,16.8,12.3,91,88,4.8,46,11.3,62,7.0
2012,1,23,0,0,0,1,1015.8,1017.7,1013.5,13.2,14.9,10.7,84,77,4.3,44,11.6,54,3.5
2012,1,24,0,0,0,1,1014.4,1017.0,1011.7,15.1,18.5,13.1,89,78,3.2,42,10.1,49,5.0
2012,1,25,0,0,0,1,1015.8,1017.6,1013.9,12.6,14.3,11.3,83,72,4.6,43,10.6,40,1.0
2012,1,26,0,0,0,1,1016.8,1019.0,1014.8,14.8,19.0,11.5,86,71,2.3,39,6.2,345,0.0
2012,1,27,0,0,0,1,1014.4,1016.7,1012.4,16.5,19.8,14.9,90,74,2.5,41,6.3,12,0.0
2012,1,28,0,0,0,1,1013.3,1016.1,1011.3,16.7,20.0,14.2,90,78,2.6,42,6.4,44,0.0
2012,1,29,0,0,0,1,1014.5,1016.5,1012.6,17.1,19.6,15.7,87,81,3.6,38,7.6,31,0.0
2012,1,30,0,0,0,1,1016.1,1017.7,1014.3,16.6,19.8,15.3,84,73,4.6,40,12.1,40,0.0
2012,1,31,0,0,0,1,1017.2,1019.3,1014.9,15.6,18.5,14.0,79,68,3.9,42,9.1,43,0.0
2012,2,1,1,0,0,0,1016.4,1018.3,1014.6,15.9,18.9,12.4,87,75,2.3,41,7.4,5,0.0
2012,2,2,1,0,0,0,1017.4,1019.5,1015.9,15.8,20.2,13.8,80,64,4.6,42,14.5,40,0.0
2012,2,3,1,0,0,0,1018.6,1020.5,1017.7,14.1,15.3,13.2,86,75,3.4,41,8.3,32,0.0
2012,2,4,1,0,0,0,1016.7,1019.6,1013.9,16.5,23.3,13.8,89,67,2.7,44,7.6,22,0.0
2012,2,5,1,0,0,0,1014.5,1016.8,1011.7,17.6,24.1,15.5,93,60,1.9,36,7.2,334,0.0
2012,2,6,1,0,0,0,1008.9,1011.8,1005.8,19.8,25.7,16.4,91,65,1.4,9,5.5,294,0.0
2012,2,7,1,0,0,0,1011.6,1016.1,1007.9,14.7,22.7,11.4,88,76,4.7,43,12.8,52,5.5
2012,2,8,1,0,0,0,1017.1,1019.3,1014.5,11.2,12.6,9.9,86,75,4.8,47,11.5,61,3.5
2012,2,9,1,0,0,0,1016.8,1018.7,1015.5,13.3,16.6,10.6,84,73,2.6,41,9.6,54,0.0
2012,2,10,1,0,0,0,1016.9,1018.6,1015.7,14.6,16.4,13.4,98,93,3.0,42,7.8,55,0.0
2012,2,11,1,0,0,0,1017.6,1019.2,1015.7,15.4,16.6,13.4,94,89,3.5,39,8.7,36,0.0
2012,2,12,1,0,0,0,1017.2,1018.7,1015.2,15.2,16.3,14.2,99,97,2.3,34,5.6,26,0.0
2012,2,13,1,0,0,0,1015.5,1018.7,1012.6,18.7,26.1,13.3,86,56,2.1,41,8.8,33,0.0
2012,2,14,1,0,0,0,1012.9,1015.5,1010.2,17.9,22.8,15.3,95,78,1.8,33,4.8,7,0.0
2012,2,15,1,0,0,0,1010.9,1013.0,1008.0,16.5,19.8,15.0,99,95,3.1,42,7.5,38,0.0
2012,2,16,1,0,0,0,1012.8,1014.6,1010.8,14.7,16.3,13.7,96,91,4.9,39,11.1,43,0.0
2012,2,17,1,0,0,0,1016.0,1018.7,1013.9,13.7,14.9,12.2,89,84,5.3,39,13.1,74,0.0
2012,2,18,1,0,0,0,1018.1,1020.2,1015.8,13.3,16.5,11.8,77,66,5.4,44,12.0,51,0.0
2012,2,19,1,0,0,0,1018.2,1020.2,1015.8,14.1,17.2,11.7,78,65,4.3,43,10.9,22,0.0
2012,2,20,1,0,0,0,1015.9,1018.4,1013.2,15.1,18.1,13.4,92,83,2.4,30,8.3,36,0.0
2012,2,21,1,0,0,0,1012.1,1015.1,1009.8,16.3,18.6,14.5,95,89,1.7,39,4.7,347,0.0
2012,2,22,1,0,0,0,1008.8,1011.0,1006.1,19.1,24.6,14.9,87,67,1.4,28,5.2,306,0.0
2012,2,23,1,0,0,0,1007.4,1008.6,1005.7,21.4,27.8,17.8,96,73,1.9,20,12.3,303,16.0
2012,2,24,1,0,0,0,1008.4,1011.3,1006.7,16.9,19.8,15.8,99,93,2.8,46,8.2,46,2.0
2012,2,25,1,0,0,0,1009.4,1011.3,1006.6,15.3,17.3,13.2,98,93,3.5,42,8.7,54,17.5
2012,2,26,1,0,0,0,1012.8,1015.1,1010.2,12.6,14.1,11.9,95,91,4.7,46,10.3,55,1.5
2012,2,27,1,0,0,0,1013.0,1015.9,1010.2,13.2,14.4,11.4,98,90,3.6,40,10.1,63,6.0
2012,2,28,1,0,0,0,1010.8,1013.5,1008.9,13.4,16.5,12.2,99,95,3.4,39,8.9,215,16.0
2012,2,29,1,0,0,0,1011.8,1013.6,1010.1,14.9,17.2,13.7,97,90,3.0,39,6.5,50,0.0
2012,3,1,1,0,0,0,1012.2,1014.6,1009.9,17.3,23.3,13.0,94,78,2.0,41,5.2,346,0.0
2012,3,2,1,0,0,0,1011.2,1013.0,1009.9,18.8,27.0,14.8,94,71,2.0,39,6.4,46,0.0
2012,3,3,1,0,0,0,1012.1,1014.6,1010.2,16.2,19.9,14.7,98,88,3.1,41,8.1,50,0.0
2012,3,4,1,0,0,0,1011.1,1013.0,1008.6,17.5,23.7,14.4,96,80,2.1,41,5.6,33,0.0
2012,3,5,1,0,0,0,1007.7,1010.1,1006.3,22.1,28.3,16.8,92,71,1.5,51,8.3,254,0.0
2012,3,6,1,0,0,0,1008.2,1010.7,1005.8,21.0,27.9,16.6,94,72,2.0,28,6.0,53,0.0
2012,3,7,1,0,0,0,1008.1,1010.2,1006.4,17.0,21.1,15.4,96,82,3.6,42,8.9,36,0.0
2012,3,8,1,0,0,0,1008.6,1011.0,1007.0,16.1,18.6,14.7,97,87,3.6,42,8.6,53,0.0
2012,3,9,1,0,0,0,1011.5,1014.0,1009.2,13.8,15.7,11.9,95,89,4.6,45,10.7,38,0.0
2012,3,10,1,0,0,0,1014.1,1015.9,1012.6,12.5,14.2,10.7,92,85,4.7,42,10.6,31,1.0
2012,3,11,1,0,0,0,1015.7,1017.6,1014.5,13.6,15.9,12.8,91,80,4.2,42,10.1,51,6.5
2012,3,12,1,0,0,0,1017.0,1018.1,1015.7,14.3,18.9,12.9,96,81,3.3,41,10.0,63,9.5
2012,3,13,1,0,0,0,1017.6,1019.0,1015.7,14.3,17.3,12.9,97,87,3.9,40,9.9,52,4.5
2012,3,14,1,0,0,0,1015.8,1017.7,1014.2,15.6,18.7,14.3,99,99,3.2,39,7.0,47,0.0
2012,3,15,1,0,0,0,1014.2,1016.4,1012.0,16.3,20.4,14.9,98,88,2.5,33,6.3,53,0.0
2012,3,16,1,0,0,0,1011.2,1013.3,1009.5,21.1,28.9,15.2,90,60,1.4,46,7.3,310,0.0
2012,3,17,1,0,0,0,1010.1,1011.7,1008.5,25.5,29.1,22.0,94,72,1.5,211,8.2,277,0.0
2012,3,18,1,0,0,0,1011.0,1012.4,1008.6,25.3,29.6,22.1,98,76,2.1,176,7.8,305,0.0
2012,3,19,1,0,0,0,1011.9,1013.9,1010.7,20.6,24.0,18.4,96,85,2.8,42,11.5,29,0.0
2012,3,20,1,0,0,0,1011.9,1013.9,1010.2,19.8,23.4,16.8,97,86,3.2,41,9.6,26,0.0
2012,3,21,1,0,0,0,1013.0,1014.6,1011.1,19.0,21.8,19.1,91,78,3.9,42,11.0,38,0.0
2012,3,22,1,0,0,0,1012.4,1015.5,1009.1,21.5,25.8,18.6,96,79,2.0,40,6.2,12,0.0
2012,3,23,1,0,0,0,1011.0,1015.2,1008.5,23.6,31.2,16.5,89,54,2.7,40,13.4,56,0.0
2012,3,24,1,0,0,0,1015.4,1017.0,1013.9,14.1,16.7,11.6,65,51,5.1,47,13.9,55,0.0
2012,3,25,1,0,0,0,1016.0,1017.8,1014.2,17.8,23.3,13.9,57,46,3.2,37,9.9,24,0.0
2012,3,26,1,0,0,0,1017.0,1019.0,1015.1,19.9,25.2,13.9,69,43,1.9,35,8.2,36,0.0
2012,3,27,1,0,0,0,1018.2,1020.5,1016.4,22.5,26.7,18.2,65,43,1.8,185,6.7,38,0.0
2012,3,28,1,0,0,0,1017.3,1019.8,1015.1,22.8,26.9,18.7,77,43,1.6,97,7.4,341,0.0
2012,3,29,1,0,0,0,1016.1,1018.7,1014.3,22.5,25.5,20.2,81,57,1.5,6,5.1,337,0.0
2012,3,30,1,0,0,0,1013.4,1015.4,1010.7,23.9,27.5,19.2,71,43,1.2,41,5.4,350,0.0
2012,3,31,1,0,0,0,1015.4,1017.4,1013.5,20.9,24.9,17.3,66,45,4.6,40,16.5,23,1.5
2012,4,1,1,0,0,0,1015.4,1017.0,1013.7,22.2,26.6,16.8,68,55,1.6,42,5.5,307,0.0
2012,4,2,1,0,0,0,1013.6,1015.6,1011.1,23.8,27.4,21.3,88,66,1.4,176,5.3,286,0.0
2012,4,3,1,0,0,0,1014.1,1016.4,1011.8,24.5,28.6,19.9,83,63,2.4,39,11.1,21,0.0
2012,4,4,1,0,0,0,1013.6,1015.9,1011.0,22.5,26.4,17.7,78,60,1.9,11,4.9,14,0.0
2012,4,5,1,0,0,0,1011.9,1013.6,1010.2,23.2,26.7,21.0,92,73,1.9,38,7.0,47,1.0
2012,4,6,1,0,0,0,1012.6,1015.1,1011.0,20.6,21.4,19.2,96,87,1.8,37,6.3,45,2.0
2012,4,7,1,0,0,0,1013.9,1015.5,1012.1,22.5,25.8,19.4,93,79,1.3,5,4.0,193,0.5
2012,4,8,1,0,0,0,1014.0,1015.2,1012.9,24.1,26.9,21.8,93,67,1.7,5,5.9,271,0.0
2012,4,9,1,0,0,0,1013.2,1014.6,1012.0,24.0,26.7,22.8,93,69,2.2,35,6.8,10,0.0
2012,4,10,1,0,0,0,1011.6,1014.0,1009.2,26.4,29.9,22.4,89,60,1.6,208,5.3,301,0.0
2012,4,11,1,0,0,0,1009.2,1010.8,1006.0,27.1,30.6,25.6,96,69,2.1,180,7.1,286,0.0
2012,4,12,1,0,0,0,1008.3,1009.8,1006.4,26.7,29.4,24.9,94,76,1.2,324,4.8,282,0.0
2012,4,13,1,0,0,0,1008.9,1010.5,1006.6,27.0,29.2,24.6,91,77,1.9,173,7.8,285,0.0
2012,4,14,1,0,0,0,1009.5,1011.4,1007.7,26.8,30.2,25.0,90,65,1.3,306,4.9,360,0.0
2012,4,15,1,0,0,0,1007.5,1009.8,1004.1,27.2,30.6,23.8,88,56,1.8,45,8.5,285,0.0
2012,4,16,1,0,0,0,1007.2,1008.9,1005.5,23.9,28.0,19.3,97,85,2.1,35,8.5,34,8.5
2012,4,17,1,0,0,0,1007.9,1009.3,1006.4,21.9,24.9,19.5,84,71,1.4,41,6.3,62,4.5
2012,4,18,1,0,0,0,1007.7,1009.3,1005.8,23.7,27.2,21.5,98,89,1.3,30,5.3,24,51.0
2012,4,19,1,0,0,0,1007.8,1009.6,1006.3,25.5,28.7,23.2,98,85,0.9,7,3.6,323,0.0
2012,4,20,1,0,0,0,1006.9,1008.5,1005.1,26.2,30.3,23.7,95,76,0.9,97,6.1,173,12.0
2012,4,21,1,0,0,0,1005.2,1007.6,1003.6,26.3,30.6,24.0,89,60,1.9,163,7.3,246,0.5
2012,4,22,1,0,0,0,1007.9,1009.3,1006.3,26.4,29.5,23.0,87,67,0.9,47,2.9,296,4.5
2012,4,23,1,0,0,0,1008.2,1010.4,1006.3,27.1,30.2,24.2,89,66,0.9,292,4.1,301,0.0
2012,4,24,1,0,0,0,1005.7,1007.7,1003.3,29.2,33.1,26.1,79,52,2.3,208,11.8,259,1.5
2012,4,25,1,0,0,0,1005.5,1008.2,1003.8,29.1,32.4,27.1,86,68,2.8,179,11.9,266,2.5
2012,4,26,1,0,0,0,1007.7,1009.5,1005.1,22.7,29.3,20.4,95,76,2.6,42,10.3,55,39.5
2012,4,27,1,0,0,0,1008.7,1011.7,1006.4,22.6,24.9,20.7,100,93,1.3,20,7.8,1,28.0
2012,4,28,1,0,0,0,1008.8,1010.2,1006.1,24.1,27.0,21.6,99,85,0.8,90,2.1,118,53.0
2012,4,29,1,0,0,0,1006.7,1008.5,1004.7,26.7,32.1,23.5,88,68,1.7,170,13.2,298,9.0
2012,4,30,1,0,0,0,1005.6,1007.7,1003.6,26.7,29.7,24.1,96,77,1.6,159,7.2,163,46.5
2012,5,1,0,1,0,0,1005.5,1007.7,1003.5,29.3,32.8,26.4,86,64,2.4,190,8.4,231,0.0
2012,5,2,0,1,0,0,1005.0,1006.9,1003.0,28.1,31.4,26.4,96,82,1.9,175,10.1,253,7.0
2012,5,3,0,1,0,0,1004.4,1005.8,1002.8,27.1,29.6,25.3,98,83,1.0,50,4.2,52,4.5
2012,5,4,0,1,0,0,1004.9,1006.7,1002.8,24.8,26.7,22.0,99,94,1.5,40,5.2,2,6.0
2012,5,5,0,1,0,0,1006.5,1008.3,1005.1,24.7,29.0,21.6,82,61,1.7,39,7.9,35,0.0
2012,5,6,0,1,0,0,1007.4,1009.3,1006.0,25.9,30.1,22.1,73,53,1.5,17,5.8,360,0.0
2012,5,7,0,1,0,0,1007.6,1009.2,1006.3,27.1,30.4,24.0,86,53,1.6,177,5.2,302,0.0
2012,5,8,0,1,0,0,1005.8,1007.4,1003.9,28.5,33.2,25.5,87,64,2.1,170,6.7,267,0.0
2012,5,9,0,1,0,0,1005.9,1007.9,1003.8,28.7,33.0,25.8,94,73,2.0,24,5.6,274,0.0
2012,5,10,0,1,0,0,1006.7,1008.0,1005.4,26.0,29.1,23.0,96,84,1.8,37,6.6,36,0.0
2012,5,11,0,1,0,0,1005.7,1006.7,1003.9,25.9,29.3,22.7,97,81,1.6,27,6.2,4,0.0
2012,5,12,0,1,0,0,1004.8,1006.3,1003.3,26.9,29.5,25.1,97,85,1.3,304,5.2,306,0.0
2012,5,13,0,1,0,0,1003.8,1005.4,1002.3,28.3,32.1,23.9,86,60,1.7,181,5.4,289,0.0
2012,5,14,0,1,0,0,1005.4,1006.9,1003.8,29.4,32.4,26.6,85,62,1.8,190,6.2,291,0.0
2012,5,15,0,1,0,0,1005.9,1007.4,1003.6,29.3,32.0,27.3,91,65,1.7,187,8.0,273,0.0
2012,5,16,0,1,0,0,1004.9,1006.3,1003.0,27.9,31.2,25.0,99,87,0.9,58,11.4,229,7.5
2012,5,17,0,1,0,0,1005.5,1007.4,1004.4,26.0,29.5,21.7,98,78,1.0,179,5.5,48,40.5
2012,5,18,0,1,0,0,1007.9,1010.1,1005.7,25.2,27.6,23.5,100,99,0.8,330,5.3,184,45.5
2012,5,19,0,1,0,0,1006.2,1008.8,1003.9,25.9,28.3,24.1,100,84,1.1,177,6.1,174,3.0
2012,5,20,0,1,0,0,1003.1,1004.8,1001.6,25.4,28.5,23.4,95,81,2.3,38,9.2,30,14.0
2012,5,21,0,1,0,0,1004.3,1006.7,1002.5,25.1,28.7,22.1,83,65,3.4,40,10.9,32,0.0
2012,5,22,0,1,0,0,1005.6,1006.7,1004.4,25.0,29.0,21.9,73,54,2.4,31,7.1,21,0.0
2012,5,23,0,1,0,0,1005.5,1007.0,1003.9,25.8,30.2,21.4,88,64,1.2,39,4.3,5,0.0
