"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1021.5","...","1023.3","2016-03-01 08:12","1019.3","2016-03-01 16:02","17.2","21.6","2016-03-01 11:51","13.2","2016-03-01 06:01","...","62","49","2016-03-01 10:52","3.0","39","10.1","21","2016-03-01 15:20","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"02","1021.1","...","1023.0","2016-03-02 08:37","1019.5","2016-03-02 15:41","18.2","22.4","2016-03-02 14:01","14.2","2016-03-02 05:35","...","75","53","2016-03-02 14:01","1.6","44","6.7","346","2016-03-02 14:44","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"03","1019.2","...","1021.7","2016-03-03 10:03","1017.1","2016-03-03 17:01","20.1","23.9","2016-03-03 15:43","15.4","2016-03-03 06:41","...","74","53","2016-03-03 17:22","1.0","35","6.4","287","2016-03-03 12:25","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"04","1016.4","...","1018.4","2016-03-04 10:25","1014.6","2016-03-04 15:21","21.8","26.1","2016-03-04 13:31","18.2","2016-03-04 04:02","...","71","50","2016-03-04 13:31","1.8","48","6.8","47","2016-03-04 11:08","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"05","1014.0","...","1016.2","2016-03-05 07:14","1010.7","2016-03-05 16:11","22.5","26.5","2016-03-05 13:43","19.4","2016-03-05 07:01","...","82","64","2016-03-05 14:11","2.1","46","7.8","43","2016-03-05 12:10","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"06","1013.2","...","1015.1","2016-03-06 09:22","1011.1","2016-03-06 15:53","23.0","26.5","2016-03-06 10:38","20.7","2016-03-06 06:51","...","86","64","2016-03-06 10:34","2.3","22","8.3","37","2016-03-06 12:40","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"07","1012.9","...","1014.9","2016-03-07 08:41","1011.1","2016-03-07 14:42","23.0","27.5","2016-03-07 14:42","20.6","2016-03-07 05:44","...","85","66","2016-03-07 14:42","2.3","46","7.3","45","2016-03-07 05:27","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"08","1010.6","...","1013.3","2016-03-08 00:25","1007.6","2016-03-08 15:14","24.7","28.1","2016-03-08 14:25","22.6","2016-03-08 00:14","...","87","68","2016-03-08 14:25","1.6","55","6.8","289","2016-03-08 15:01","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"09","1011.6","...","1015.4","2016-03-09 22:25","1008.8","2016-03-09 00:11","20.8","26.5","2016-03-09 05:21","16.5","2016-03-09 23:04","...","88","74","2016-03-09 06:18","3.7","40","13.7","40","2016-03-09 23:03","26.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"10","1016.5","...","1019.7","2016-03-10 21:36","1014.2","2016-03-10 02:34","14.3","16.8","2016-03-10 00:08","12.7","2016-03-10 22:34","...","89","84","2016-03-10 07:01","5.7","42","19.5","45","2016-03-10 15:45","34.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1018.8","...","1020.6","2016-03-11 11:06","1017.3","2016-03-11 02:32","13.9","15.3","2016-03-11 13:21","12.5","2016-03-11 02:01","...","89","83","2016-03-11 13:31","3.8","47","13.8","65","2016-03-11 03:34","9.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1016.3","...","1019.0","2016-03-12 00:01","1014.0","2016-03-12 17:33","17.0","20.1","2016-03-12 13:31","14.4","2016-03-12 00:01","...","90","73","2016-03-12 12:45","2.0","29","7.1","50","2016-03-12 17:09","7.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1012.4","...","1015.6","2016-03-13 00:01","1008.8","2016-03-13 17:04","19.9","25.5","2016-03-13 14:51","18.1","2016-03-13 00:02","...","92","72","2016-03-13 14:51","2.5","35","12.8","51","2016-03-13 20:07","13.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1014.3","...","1015.9","2016-03-14 11:42","1012.0","2016-03-14 03:51","16.7","18.7","2016-03-14 00:08","15.9","2016-03-14 03:41","...","78","69","2016-03-14 13:54","4.9","47","17.5","43","2016-03-14 09:25","3.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1014.7","...","1016.5","2016-03-15 09:33","1013.4","2016-03-15 16:05","16.0","17.3","2016-03-15 23:51","15.0","2016-03-15 04:44","...","92","74","2016-03-15 00:01","2.0","47","5.8","66","2016-03-15 00:05","4.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1013.8","...","1015.6","2016-03-16 08:51","1012.0","2016-03-16 15:33","18.4","20.8","2016-03-16 13:14","17.1","2016-03-16 00:01","...","95","86","2016-03-16 13:28","2.4","34","8.6","47","2016-03-16 15:06","4.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1012.9","...","1014.8","2016-03-17 07:31","1011.0","2016-03-17 16:01","20.7","26.7","2016-03-17 15:54","17.7","2016-03-17 03:57","...","91","71","2016-03-17 16:09","1.3","13","6.1","360","2016-03-17 17:06","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1010.2","...","1011.8","2016-03-18 00:01","1008.2","2016-03-18 15:11","24.0","29.4","2016-03-18 11:23","19.0","2016-03-18 05:12","...","93","69","2016-03-18 11:31","2.1","48","11.6","1","2016-03-18 04:27","9.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1011.8","...","1014.9","2016-03-19 09:35","1009.3","2016-03-19 03:41","23.8","26.0","2016-03-19 15:02","21.6","2016-03-19 23:56","...","97","87","2016-03-19 16:41","1.9","28","8.5","348","2016-03-19 09:16","5.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1013.7","...","1015.5","2016-03-20 05:52","1011.7","2016-03-20 02:02","20.7","22.2","2016-03-20 19:03","19.3","2016-03-20 23:42","...","91","85","2016-03-20 05:58","3.1","40","12.7","37","2016-03-20 06:10","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1013.9","...","1015.4","2016-03-21 11:51","1012.3","2016-03-21 00:51","19.6","20.6","2016-03-21 14:42","18.7","2016-03-21 06:57","...","91","83","2016-03-21 04:11","3.3","47","10.5","62","2016-03-21 05:38","6.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1012.6","...","1014.8","2016-03-22 00:01","1011.0","2016-03-22 14:11","20.1","22.4","2016-03-22 12:41","19.0","2016-03-22 04:21","...","98","90","2016-03-22 12:52","2.4","14","8.1","9","2016-03-22 15:55","6.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1011.6","...","1016.4","2016-03-23 23:11","1009.8","2016-03-23 03:27","19.3","22.4","2016-03-23 12:03","15.7","2016-03-23 23:53","...","98","90","2016-03-23 23:34","3.4","44","16.6","49","2016-03-23 21:44","20.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1017.0","...","1020.2","2016-03-24 22:21","1014.0","2016-03-24 04:01","15.1","16.5","2016-03-24 10:13","13.4","2016-03-24 23:43","...","83","72","2016-03-24 10:41","5.5","46","16.4","58","2016-03-24 07:37","3.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1019.8","...","1021.9","2016-03-25 20:42","1017.7","2016-03-25 14:35","13.8","15.1","2016-03-25 12:31","12.7","2016-03-25 04:21","...","86","71","2016-03-25 22:52","3.5","39","10.8","47","2016-03-25 12:21","11.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","1019.7","...","1021.4","2016-03-26 07:52","1016.5","2016-03-26 17:04","16.5","20.6","2016-03-26 11:42","13.5","2016-03-26 00:35","...","59","40","2016-03-26 11:34","3.9","43","14.3","13","2016-03-26 12:37","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","1021.4","...","1023.3","2016-03-27 21:53","1019.5","2016-03-27 04:11","16.7","20.4","2016-03-27 12:42","14.1","2016-03-27 23:51","...","64","53","2016-03-27 10:12","3.6","45","14.6","17","2016-03-27 14:04","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","1021.5","...","1023.4","2016-03-28 08:01","1019.6","2016-03-28 15:13","18.3","22.9","2016-03-28 14:41","12.6","2016-03-28 03:33","...","51","30","2016-03-28 09:01","2.7","42","8.9","32","2016-03-28 15:53","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","1020.0","...","1022.7","2016-03-29 08:51","1017.3","2016-03-29 15:36","20.4","24.6","2016-03-29 11:32","15.4","2016-03-29 05:59","...","62","44","2016-03-29 16:41","1.8","40","6.8","11","2016-03-29 18:15","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","1016.5","...","1018.7","2016-03-30 00:04","1014.5","2016-03-30 15:41","22.6","28.5","2016-03-30 13:21","19.0","2016-03-30 05:51","...","66","37","2016-03-30 13:31","1.6","48","7.3","6","2016-03-30 14:15","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
